sofifa_id,short_name,age,height_cm,weight_kg,nationality,club,league,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,playerType,pca0,pca1,cluster
231747,K. Mbappe,20,178,73,France,Paris Saint-Germain,Ligue 1,89,95,93500000,155000,Right,3,4,5,High,RW,96.0,84.0,78.0,90.0,39.0,75.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,78,89,77,82,79,91,79,63,70,90,96,96,92,89,83,83,76,84,76,79,62,38,89,80,70,84,34,34,32,Forward,7.924706692901424,-2.7509895417037993,4
201024,K. Koulibaly,28,187,89,Senegal,Napoli,Serie A,89,91,67500000,150000,Right,3,3,2,Medium,LCB,71.0,28.0,54.0,67.0,89.0,87.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82,91,90,87,Defender,6.769143273497355,1.5332648126500394,2
202126,H. Kane,25,188,89,England,Tottenham Hotspur,Premier League,89,91,83000000,220000,Right,3,4,3,High,ST,70.0,91.0,79.0,81.0,47.0,83.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38,Forward,8.348147121662283,-0.17977769384065492,0
212831,Alisson,26,191,91,Brazil,Liverpool,Premier League,89,91,58000000,155000,Right,3,3,1,Medium,GK,68.6311475409836,58.035394932935915,63.73919523099851,68.6784649776453,57.07675111773472,66.82451564828614,85.0,84.0,85.0,89.0,51.0,90.0,17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,Goalkeeper,6.286852975504852,2.4094185067025973,0
193080,De Gea,28,192,82,Spain,Manchester United,Premier League,89,90,56000000,205000,Right,4,3,1,Medium,GK,68.6311475409836,58.035394932935915,63.73919523099851,68.6784649776453,57.07675111773472,66.82451564828614,90.0,84.0,81.0,92.0,58.0,85.0,17,13,21,50,13,18,21,19,47,38,57,58,63,87,43,61,67,43,60,12,38,30,12,65,29,68,25,21,13,Goalkeeper,7.2787476784001175,1.981112217947283,0
215914,N. Kante,28,168,72,France,Chelsea,Premier League,89,90,66000000,235000,Right,3,3,2,Medium,RCM,78.0,65.0,77.0,81.0,87.0,83.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85,Midfielder,7.406418667306131,-1.927619742133472,0
138956,G. Chiellini,34,187,85,Italy,Juventus,Serie A,89,89,24500000,215000,Left,4,3,2,Medium,LCB,68.0,46.0,58.0,60.0,90.0,82.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,54,33,83,65,45,59,60,31,65,61,61,73,57,82,57,78,89,59,89,49,91,88,28,50,50,84,94,91,89,Defender,6.3769553247568505,1.9254566136008877,2
153079,S. Aguero,31,173,70,Argentina,Manchester City,Premier League,89,89,60000000,300000,Right,4,4,4,High,ST,80.0,90.0,77.0,88.0,33.0,74.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24,Forward,8.781205446825073,-2.411434133124899,0
155862,Sergio Ramos,33,184,82,Spain,Real Madrid,La Liga,89,89,31500000,300000,Right,4,3,3,High,LCB,72.0,68.0,75.0,73.0,87.0,85.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,66,63,92,80,69,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71,86,84,85,87,90,Defender,7.693062394212144,0.6671261959073072,1
176580,L. Suarez,32,182,86,Uruguay,FC Barcelona,La Liga,89,89,53000000,355000,Right,5,4,3,High,ST,73.0,89.0,80.0,84.0,51.0,84.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38,Forward,9.903197439594685,-0.202060650320703,1
188545,R. Lewandowski,30,184,80,Poland,FC Bayern Munchen,Bundesliga,89,89,64500000,235000,Right,4,4,4,High,ST,77.0,87.0,74.0,85.0,41.0,82.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19,Forward,8.349429195900564,-0.7039369176037616,3
189511,Sergio Busquets,30,189,76,Spain,FC Barcelona,La Liga,89,89,55000000,300000,Right,4,3,3,Medium,CDM,42.0,62.0,80.0,80.0,85.0,80.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,62,67,68,89,44,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86,60,93,90,86,80,Midfielder,8.34181686621982,0.4470905470651574,1
194765,A. Griezmann,28,176,73,France,FC Barcelona,La Liga,89,89,69000000,370000,Left,4,3,4,High,LW,81.0,86.0,84.0,89.0,57.0,72.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,83,89,84,85,87,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86,86,89,59,54,49,Forward,9.793764984288151,-2.198112464845076,1
211110,P. Dybala,25,177,75,Argentina,Juventus,Serie A,88,92,76500000,215000,Left,3,3,4,Medium,RW,83.0,82.0,84.0,90.0,43.0,64.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,82,80,64,87,88,90,88,88,75,93,86,81,91,84,85,80,75,79,61,86,48,42,80,87,86,84,32,48,40,Forward,7.658450173839276,-1.6451352207012648,2
195864,P. Pogba,26,191,84,France,Manchester United,Premier League,88,91,72500000,250000,Right,4,4,5,High,LDM,74.0,81.0,86.0,85.0,66.0,86.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,80,75,75,86,84,87,85,82,90,90,67,79,75,82,66,90,82,87,89,82,78,64,83,88,83,87,63,67,65,Midfielder,8.701508771080755,0.2958316657959819,0
210257,Ederson,25,188,86,Brazil,Manchester City,Premier League,88,91,54500000,185000,Left,2,3,1,Medium,GK,68.6311475409836,58.035394932935915,63.73919523099851,68.6784649776453,57.07675111773472,66.82451564828614,86.0,82.0,93.0,88.0,63.0,86.0,20,14,14,56,18,23,15,20,58,40,64,63,60,87,48,70,66,41,68,18,38,27,20,70,17,70,29,15,8,Goalkeeper,5.687560028326875,1.5943963248209279,0
202652,R. Sterling,24,170,69,England,Manchester City,Premier League,88,90,73000000,255000,Right,3,3,4,High,LW,93.0,79.0,78.0,89.0,45.0,57.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,78,83,38,84,67,89,75,63,69,88,96,91,94,89,94,76,57,79,54,77,38,30,91,79,69,79,47,53,47,Forward,7.889179856962893,-3.3370156989734174,0
190460,C. Eriksen,27,181,76,Denmark,Tottenham Hotspur,Premier League,88,89,68000000,205000,Right,3,5,4,High,RM,73.0,81.0,90.0,84.0,53.0,63.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,88,77,52,91,80,81,89,86,89,91,75,71,79,88,80,84,50,93,57,89,46,56,85,92,67,88,59,57,22,Midfielder,7.255625089138439,-1.1178833329109175,0
192119,T. Courtois,27,199,96,Belgium,Real Madrid,La Liga,88,89,48000000,235000,Left,4,2,1,Medium,GK,68.6311475409836,58.035394932935915,63.73919523099851,68.6784649776453,57.07675111773472,66.82451564828614,85.0,89.0,72.0,87.0,49.0,85.0,14,14,13,33,12,13,19,20,35,23,46,52,61,83,45,54,68,38,70,17,23,15,13,44,27,66,20,18,16,Goalkeeper,7.24156089345195,3.6949657854899374,1
152729,Pique,32,194,85,Spain,FC Barcelona,La Liga,88,88,38000000,285000,Right,4,3,2,High,RCB,56.0,61.0,72.0,68.0,88.0,80.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,57,65,85,83,57,63,58,43,81,82,48,63,57,85,36,62,75,70,87,51,76,89,64,72,69,87,89,88,87,Defender,7.6764017846913,1.6973618489011244,1
162835,S. Handanovic,34,193,92,Slovenia,Inter,Serie A,88,88,26000000,110000,Right,3,2,1,Medium,GK,68.6311475409836,58.035394932935915,63.73919523099851,68.6784649776453,57.07675111773472,66.82451564828614,88.0,85.0,69.0,89.0,53.0,89.0,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,52,78,41,71,19,25,22,12,41,23,69,25,10,13,Goalkeeper,4.612231078524257,3.442440056465053,2
167495,M. Neuer,33,193,92,Germany,FC Bayern Munchen,Bundesliga,88,88,32000000,155000,Right,5,4,1,Medium,GK,68.6311475409836,58.035394932935915,63.73919523099851,68.6784649776453,57.07675111773472,66.82451564828614,87.0,87.0,91.0,87.0,57.0,85.0,15,13,25,55,11,30,14,11,59,46,54,60,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,Goalkeeper,6.499343096695691,3.488904914524664,3
167948,H. Lloris,32,188,82,France,Tottenham Hotspur,Premier League,88,88,36000000,150000,Left,4,1,1,Medium,GK,68.6311475409836,58.035394932935915,63.73919523099851,68.6784649776453,57.07675111773472,66.82451564828614,89.0,82.0,68.0,91.0,63.0,84.0,13,10,10,50,11,10,11,10,50,34,65,62,55,86,54,51,74,41,43,14,31,27,10,30,40,65,29,10,18,Goalkeeper,5.851599207258314,2.0870873160057704,0
168542,David Silva,33,173,67,Spain,Manchester City,Premier League,88,88,36000000,265000,Left,4,2,4,High,LCM,65.0,74.0,88.0,89.0,52.0,57.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,84,72,54,92,82,87,82,77,84,92,69,61,87,89,88,72,64,73,48,73,57,50,88,91,75,92,59,53,29,Midfielder,7.274142704913196,-1.9034179815726961,0
179813,E. Cavani,32,185,77,Uruguay,Paris Saint-Germain,Ligue 1,88,88,47000000,195000,Right,4,4,3,High,ST,75.0,86.0,72.0,79.0,55.0,83.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,70,88,89,78,90,79,77,76,52,81,74,76,74,91,59,88,88,91,79,79,84,54,93,77,85,80,57,48,39,Forward,7.127407708495719,-0.5849737070735797,4
182493,D. Godin,33,187,78,Uruguay,Inter,Serie A,88,88,28000000,135000,Right,3,3,2,Medium,RCB,60.0,48.0,64.0,61.0,89.0,83.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,52,42,88,79,47,53,49,49,70,74,61,60,57,81,53,67,90,65,89,43,88,87,48,52,50,82,90,89,87,Defender,4.82122992220366,1.271446240124801,2
182521,T. Kroos,29,183,76,Germany,Real Madrid,La Liga,88,88,57000000,330000,Right,4,5,3,Medium,LCM,45.0,80.0,90.0,81.0,70.0,69.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,88,75,58,91,82,80,86,84,92,89,50,41,60,87,71,87,30,74,73,86,60,76,75,89,73,88,72,70,62,Midfielder,8.561756542367878,-0.1400840688439404,1
188350,M. Reus,30,180,71,Germany,Borussia Dortmund,Bundesliga,88,88,56000000,170000,Right,4,4,4,High,CAM,85.0,88.0,84.0,87.0,45.0,66.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,82,87,49,86,90,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86,90,85,49,37,45,Midfielder,7.009600787087862,-1.2133386553334673,3
188567,P. Aubameyang,30,187,80,Gabon,Arsenal,Premier League,88,88,57000000,205000,Right,3,4,4,Medium,LM,94.0,85.0,75.0,80.0,37.0,69.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,76,89,78,77,86,79,80,74,64,82,93,95,76,87,69,82,79,78,74,79,43,48,90,77,76,85,27,25,36,Midfielder,6.725388486402627,0.5878476432589984,0
208722,S. Mane,27,175,69,Senegal,Liverpool,Premier League,88,88,62000000,220000,Right,3,4,4,High,LW,94.0,83.0,77.0,89.0,44.0,74.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,74,87,81,81,75,89,76,64,71,87,95,93,92,90,86,84,86,85,67,77,75,35,90,83,71,84,42,42,38,Forward,7.080331827908058,-2.5821706525286854,0
212218,A. Laporte,25,189,85,France,Manchester City,Premier League,87,90,56500000,195000,Left,2,3,2,Medium,LCB,64.0,50.0,71.0,68.0,88.0,82.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,58,45,86,81,40,63,61,69,80,77,61,66,59,87,60,68,78,78,85,47,79,87,54,65,44,85,88,89,88,Defender,5.805473573962091,1.1614892101910068,0
218667,Bernardo Silva,24,173,64,Portugal,Manchester City,Premier League,87,90,64000000,210000,Left,2,3,4,High,RW,81.0,76.0,83.0,92.0,51.0,67.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,85,78,51,86,69,92,84,67,74,92,85,78,94,85,92,74,51,93,54,75,69,49,85,85,68,87,49,59,40,Forward,6.3167031249817915,-3.4906178702768607,0
200145,Casemiro,27,185,84,Brazil,Real Madrid,La Liga,87,89,53500000,240000,Right,3,3,2,Medium,CDM,62.0,72.0,75.0,72.0,85.0,89.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,58,64,76,83,61,69,63,74,82,78,58,66,62,86,66,86,87,88,90,81,89,86,69,77,66,84,84,87,86,Midfielder,6.842377297178454,0.5197945886956312,1
200104,H. Son,26,183,78,Korea Republic,Tottenham Hotspur,Premier League,87,88,60000000,185000,Right,3,5,4,High,LM,88.0,86.0,80.0,87.0,42.0,68.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,81,86,65,83,81,88,85,70,70,87,86,89,86,89,76,88,63,87,62,90,60,39,88,81,71,87,48,34,33,Midfielder,6.553293821617408,-0.7624738211873553,0
135507,Fernandinho,34,179,67,Brazil,Manchester City,Premier League,87,87,19500000,200000,Right,3,4,3,Medium,CDM,66.0,74.0,79.0,78.0,84.0,79.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,68,69,66,86,74,77,70,72,83,82,68,64,69,89,77,83,78,79,76,78,87,89,70,78,61,81,87,86,80,Midfielder,5.014153647130057,-0.6543615639304164,0
164240,Thiago Silva,34,183,82,Brazil,Paris Saint-Germain,Ligue 1,87,87,18500000,135000,Right,4,3,2,Medium,LCB,62.0,54.0,72.0,72.0,87.0,78.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,60,40,81,80,61,67,62,61,80,80,60,64,67,82,67,71,90,71,81,65,76,90,59,70,60,86,88,88,85,Defender,4.982237656648231,1.4764953154361762,4
165153,K. Benzema,31,185,81,France,Real Madrid,La Liga,87,87,45000000,285000,Right,4,4,4,Medium,CF,76.0,82.0,80.0,86.0,39.0,77.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,75,84,83,85,83,86,81,73,72,90,78,74,78,85,69,82,77,79,80,76,65,39,88,86,82,87,47,24,18,Forward,7.666739943389774,0.24022161086814253,1
172871,J. Vertonghen,32,189,86,Belgium,Tottenham Hotspur,Premier League,87,87,32500000,155000,Left,3,3,3,High,LCB,63.0,63.0,74.0,72.0,87.0,79.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,72,56,80,79,52,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68,66,84,89,87,88,Defender,5.335625129626516,1.4100692981084724,0
175943,D. Mertens,32,169,61,Belgium,Napoli,Serie A,87,87,40000000,135000,Right,3,4,4,High,CF,88.0,83.0,80.0,91.0,35.0,53.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,79,86,40,82,70,91,82,79,74,89,93,83,94,88,92,80,59,73,39,81,59,36,87,83,79,81,25,40,40,Forward,5.275291365373019,-3.2253635254233943,2
178603,M. Hummels,30,191,94,Germany,Borussia Dortmund,Bundesliga,87,87,41000000,130000,Right,4,3,3,High,LCB,51.0,58.0,76.0,72.0,89.0,76.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,64,55,87,81,60,68,65,53,85,81,46,55,64,87,59,71,68,65,85,51,71,89,56,79,68,89,90,89,86,Defender,6.018295790323171,2.1602293022493027,3
184087,T. Alderweireld,30,186,81,Belgium,Tottenham Hotspur,Premier League,87,87,41000000,155000,Right,3,3,2,Medium,RCB,64.0,55.0,72.0,66.0,88.0,79.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,64,45,82,79,38,62,63,69,85,75,61,66,59,87,50,78,84,78,79,58,81,88,54,62,58,86,90,90,86,Defender,5.338198552438169,1.175022389209397,0
189332,Jordi Alba,30,170,68,Spain,FC Barcelona,La Liga,87,87,40000000,240000,Left,3,3,3,High,LB,90.0,69.0,81.0,83.0,79.0,73.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,87,73,70,84,60,81,80,63,79,85,91,90,89,85,85,64,81,92,61,66,77,83,83,78,59,82,74,83,84,Defender,6.243847632605681,-1.8938406347784018,1
189509,Thiago,28,174,70,Spain,FC Bayern Munchen,Bundesliga,87,87,50000000,180000,Right,3,3,5,Medium,CDM,69.0,74.0,85.0,90.0,69.0,63.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,78,69,54,90,86,90,85,77,87,91,76,64,91,86,88,76,76,75,59,79,56,83,79,86,75,87,67,67,71,Midfielder,5.816677317557842,-1.370310787590753,3
193041,K. Navas,32,185,80,Costa Rica,Real Madrid,La Liga,87,87,30500000,195000,Right,3,3,1,Medium,GK,68.6311475409836,58.035394932935915,63.73919523099851,68.6784649776453,57.07675111773472,66.82451564828614,90.0,81.0,75.0,90.0,53.0,82.0,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,56,74,39,75,13,32,20,16,68,25,67,28,14,14,Goalkeeper,5.345070408469573,1.6023604675024932,1
198219,L. Insigne,28,163,59,Italy,Napoli,Serie A,87,87,52000000,140000,Right,3,4,4,High,LS,89.0,79.0,85.0,91.0,35.0,47.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,86,77,59,87,74,90,87,77,78,93,94,85,94,84,93,79,52,72,40,85,34,26,85,89,68,83,49,24,22,Forward,5.608567335285625,-4.21642910226963,2
222492,L. Sane,23,183,75,Germany,Manchester City,Premier League,86,92,61000000,195000,Left,2,3,4,High,LW,95.0,81.0,79.0,86.0,38.0,70.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,83,81,72,80,85,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82,71,80,36,32,35,Forward,6.173793044843935,-1.8411494039141683,0
207865,Marquinhos,25,183,75,Brazil,Paris Saint-Germain,Ligue 1,86,90,51500000,120000,Right,3,3,3,Medium,RCB,74.0,41.0,73.0,70.0,86.0,77.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,68,33,84,82,31,64,55,32,82,79,72,76,69,85,68,61,89,76,75,35,80,86,59,68,47,86,86,87,87,Defender,5.222001464893278,0.00748127797240349,4
232363,M. Skriniar,24,187,80,Slovakia,Inter,Serie A,86,90,52000000,89000,Right,1,4,2,Medium,LCB,69.0,41.0,59.0,66.0,87.0,82.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,40,42,82,73,40,67,34,30,69,69,70,69,48,83,51,50,78,75,85,30,86,86,30,57,56,81,92,87,83,Defender,3.717422440675727,0.536854932771744,2
199556,M. Verratti,26,165,60,Italy,Paris Saint-Germain,Ligue 1,86,89,54500000,140000,Right,3,4,4,Medium,RCM,65.0,60.0,84.0,90.0,79.0,66.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,75,60,55,90,64,90,74,64,89,89,69,61,91,85,94,56,64,77,52,58,89,84,71,87,64,95,78,82,83,Midfielder,5.4285455830997185,-3.126431240099758,4
205600,S. Umtiti,25,182,75,France,FC Barcelona,La Liga,86,89,50000000,210000,Left,3,3,2,Medium,CB,69.0,63.0,69.0,69.0,86.0,82.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,61,51,79,80,65,64,72,62,73,77,66,72,62,82,66,83,88,71,86,74,82,87,51,58,61,82,87,88,85,Defender,6.052242331268492,-0.10706051570499887,1
186153,W. Szczesny,29,195,90,Poland,Juventus,Serie A,86,88,37500000,135000,Right,3,3,1,Medium,GK,68.6311475409836,58.035394932935915,63.73919523099851,68.6784649776453,57.07675111773472,66.82451564828614,85.0,82.0,73.0,88.0,49.0,86.0,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,Goalkeeper,4.972326323131131,3.0510599393875806,2
