sofifa_id,short_name,age,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
155862,Sergio Ramos,33,184,82,Spain,Real Madrid,89,89,31500000,300000,Right,4,3,3,High,LCB,72,68,75,73,87,85,,,,,,,66,63,92,80,69,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71,86,84,85,87,90
176580,L. Suárez,32,182,86,Uruguay,FC Barcelona,89,89,53000000,355000,Right,5,4,3,High,ST,73,89,80,84,51,84,,,,,,,78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38
188545,R. Lewandowski,30,184,80,Poland,FC Bayern München,89,89,64500000,235000,Right,4,4,4,High,ST,77,87,74,85,41,82,,,,,,,62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19
189511,Sergio Busquets,30,189,76,Spain,FC Barcelona,89,89,55000000,300000,Right,4,3,3,Medium,CDM,42,62,80,80,85,80,,,,,,,62,67,68,89,44,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86,60,93,90,86,80
194765,A. Griezmann,28,176,73,France,FC Barcelona,89,89,69000000,370000,Left,4,3,4,High,LW,81,86,84,89,57,72,,,,,,,83,89,84,85,87,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86,86,89,59,54,49
211110,P. Dybala,25,177,75,Argentina,Juventus,88,92,76500000,215000,Left,3,3,4,Medium,RW,83,82,84,90,43,64,,,,,,,82,80,64,87,88,90,88,88,75,93,86,81,91,84,85,80,75,79,61,86,48,42,80,87,86,84,32,48,40
195864,P. Pogba,26,191,84,France,Manchester United,88,91,72500000,250000,Right,4,4,5,High,LDM,74,81,86,85,66,86,,,,,,,80,75,75,86,84,87,85,82,90,90,67,79,75,82,66,90,82,87,89,82,78,64,83,88,83,87,63,67,65
210257,Ederson,25,188,86,Brazil,Manchester City,88,91,54500000,185000,Left,2,3,1,Medium,GK,,,,,,,86,82,93,88,63,86,20,14,14,56,18,23,15,20,58,40,64,63,60,87,48,70,66,41,68,18,38,27,20,70,17,70,29,15,8
202652,R. Sterling,24,170,69,England,Manchester City,88,90,73000000,255000,Right,3,3,4,High,LW,93,79,78,89,45,57,,,,,,,78,83,38,84,67,89,75,63,69,88,96,91,94,89,94,76,57,79,54,77,38,30,91,79,69,79,47,53,47
190460,C. Eriksen,27,181,76,Denmark,Tottenham Hotspur,88,89,68000000,205000,Right,3,5,4,High,RM,73,81,90,84,53,63,,,,,,,88,77,52,91,80,81,89,86,89,91,75,71,79,88,80,84,50,93,57,89,46,56,85,92,67,88,59,57,22
192119,T. Courtois,27,199,96,Belgium,Real Madrid,88,89,48000000,235000,Left,4,2,1,Medium,GK,,,,,,,85,89,72,87,49,85,14,14,13,33,12,13,19,20,35,23,46,52,61,83,45,54,68,38,70,17,23,15,13,44,27,66,20,18,16
152729,Piqué,32,194,85,Spain,FC Barcelona,88,88,38000000,285000,Right,4,3,2,High,RCB,56,61,72,68,88,80,,,,,,,57,65,85,83,57,63,58,43,81,82,48,63,57,85,36,62,75,70,87,51,76,89,64,72,69,87,89,88,87
162835,S. Handanovič,34,193,92,Slovenia,Inter,88,88,26000000,110000,Right,3,2,1,Medium,GK,,,,,,,88,85,69,89,53,89,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,52,78,41,71,19,25,22,12,41,23,69,25,10,13
167495,M. Neuer,33,193,92,Germany,FC Bayern München,88,88,32000000,155000,Right,5,4,1,Medium,GK,,,,,,,87,87,91,87,57,85,15,13,25,55,11,30,14,11,59,46,54,60,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11
167948,H. Lloris,32,188,82,France,Tottenham Hotspur,88,88,36000000,150000,Left,4,1,1,Medium,GK,,,,,,,89,82,68,91,63,84,13,10,10,50,11,10,11,10,50,34,65,62,55,86,54,51,74,41,43,14,31,27,10,30,40,65,29,10,18
168542,David Silva,33,173,67,Spain,Manchester City,88,88,36000000,265000,Left,4,2,4,High,LCM,65,74,88,89,52,57,,,,,,,84,72,54,92,82,87,82,77,84,92,69,61,87,89,88,72,64,73,48,73,57,50,88,91,75,92,59,53,29
179813,E. Cavani,32,185,77,Uruguay,Paris Saint-Germain,88,88,47000000,195000,Right,4,4,3,High,ST,75,86,72,79,55,83,,,,,,,70,88,89,78,90,79,77,76,52,81,74,76,74,91,59,88,88,91,79,79,84,54,93,77,85,80,57,48,39
182493,D. Godín,33,187,78,Uruguay,Inter,88,88,28000000,135000,Right,3,3,2,Medium,RCB,60,48,64,61,89,83,,,,,,,52,42,88,79,47,53,49,49,70,74,61,60,57,81,53,67,90,65,89,43,88,87,48,52,50,82,90,89,87
182521,T. Kroos,29,183,76,Germany,Real Madrid,88,88,57000000,330000,Right,4,5,3,Medium,LCM,45,80,90,81,70,69,,,,,,,88,75,58,91,82,80,86,84,92,89,50,41,60,87,71,87,30,74,73,86,60,76,75,89,73,88,72,70,62
188350,M. Reus,30,180,71,Germany,Borussia Dortmund,88,88,56000000,170000,Right,4,4,4,High,CAM,85,88,84,87,45,66,,,,,,,82,87,49,86,90,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86,90,85,49,37,45
188567,P. Aubameyang,30,187,80,Gabon,Arsenal,88,88,57000000,205000,Right,3,4,4,Medium,LM,94,85,75,80,37,69,,,,,,,76,89,78,77,86,79,80,74,64,82,93,95,76,87,69,82,79,78,74,79,43,48,90,77,76,85,27,25,36
208722,S. Mané,27,175,69,Senegal,Liverpool,88,88,62000000,220000,Right,3,4,4,High,LW,94,83,77,89,44,74,,,,,,,74,87,81,81,75,89,76,64,71,87,95,93,92,90,86,84,86,85,67,77,75,35,90,83,71,84,42,42,38
212218,A. Laporte,25,189,85,France,Manchester City,87,90,56500000,195000,Left,2,3,2,Medium,LCB,64,50,71,68,88,82,,,,,,,58,45,86,81,40,63,61,69,80,77,61,66,59,87,60,68,78,78,85,47,79,87,54,65,44,85,88,89,88
218667,Bernardo Silva,24,173,64,Portugal,Manchester City,87,90,64000000,210000,Left,2,3,4,High,RW,81,76,83,92,51,67,,,,,,,85,78,51,86,69,92,84,67,74,92,85,78,94,85,92,74,51,93,54,75,69,49,85,85,68,87,49,59,40
200145,Casemiro,27,185,84,Brazil,Real Madrid,87,89,53500000,240000,Right,3,3,2,Medium,CDM,62,72,75,72,85,89,,,,,,,58,64,76,83,61,69,63,74,82,78,58,66,62,86,66,86,87,88,90,81,89,86,69,77,66,84,84,87,86
200104,H. Son,26,183,78,Korea Republic,Tottenham Hotspur,87,88,60000000,185000,Right,3,5,4,High,LM,88,86,80,87,42,68,,,,,,,81,86,65,83,81,88,85,70,70,87,86,89,86,89,76,88,63,87,62,90,60,39,88,81,71,87,48,34,33
135507,Fernandinho,34,179,67,Brazil,Manchester City,87,87,19500000,200000,Right,3,4,3,Medium,CDM,66,74,79,78,84,79,,,,,,,68,69,66,86,74,77,70,72,83,82,68,64,69,89,77,83,78,79,76,78,87,89,70,78,61,81,87,86,80
164240,Thiago Silva,34,183,82,Brazil,Paris Saint-Germain,87,87,18500000,135000,Right,4,3,2,Medium,LCB,62,54,72,72,87,78,,,,,,,60,40,81,80,61,67,62,61,80,80,60,64,67,82,67,71,90,71,81,65,76,90,59,70,60,86,88,88,85
165153,K. Benzema,31,185,81,France,Real Madrid,87,87,45000000,285000,Right,4,4,4,Medium,CF,76,82,80,86,39,77,,,,,,,75,84,83,85,83,86,81,73,72,90,78,74,78,85,69,82,77,79,80,76,65,39,88,86,82,87,47,24,18
172871,J. Vertonghen,32,189,86,Belgium,Tottenham Hotspur,87,87,32500000,155000,Left,3,3,3,High,LCB,63,63,74,72,87,79,,,,,,,72,56,80,79,52,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68,66,84,89,87,88
175943,D. Mertens,32,169,61,Belgium,Napoli,87,87,40000000,135000,Right,3,4,4,High,SUB,88,83,80,91,35,53,,,,,,,79,86,40,82,70,91,82,79,74,89,93,83,94,88,92,80,59,73,39,81,59,36,87,83,79,81,25,40,40
178603,M. Hummels,30,191,94,Germany,Borussia Dortmund,87,87,41000000,130000,Right,4,3,3,High,LCB,51,58,76,72,89,76,,,,,,,64,55,87,81,60,68,65,53,85,81,46,55,64,87,59,71,68,65,85,51,71,89,56,79,68,89,90,89,86
184087,T. Alderweireld,30,186,81,Belgium,Tottenham Hotspur,87,87,41000000,155000,Right,3,3,2,Medium,RCB,64,55,72,66,88,79,,,,,,,64,45,82,79,38,62,63,69,85,75,61,66,59,87,50,78,84,78,79,58,81,88,54,62,58,86,90,90,86
189332,Jordi Alba,30,170,68,Spain,FC Barcelona,87,87,40000000,240000,Left,3,3,3,High,LB,90,69,81,83,79,73,,,,,,,87,73,70,84,60,81,80,63,79,85,91,90,89,85,85,64,81,92,61,66,77,83,83,78,59,82,74,83,84
189509,Thiago,28,174,70,Spain,FC Bayern München,87,87,50000000,180000,Right,3,3,5,Medium,CDM,69,74,85,90,69,63,,,,,,,78,69,54,90,86,90,85,77,87,91,76,64,91,86,88,76,76,75,59,79,56,83,79,86,75,87,67,67,71
193041,K. Navas,32,185,80,Costa Rica,Real Madrid,87,87,30500000,195000,Right,3,3,1,Medium,SUB,,,,,,,90,81,75,90,53,82,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,56,74,39,75,13,32,20,16,68,25,67,28,14,14
198219,L. Insigne,28,163,59,Italy,Napoli,87,87,52000000,140000,Right,3,4,4,High,LS,89,79,85,91,35,47,,,,,,,86,77,59,87,74,90,87,77,78,93,94,85,94,84,93,79,52,72,40,85,34,26,85,89,68,83,49,24,22
222492,L. Sané,23,183,75,Germany,Manchester City,86,92,61000000,195000,Left,2,3,4,High,SUB,95,81,79,86,38,70,,,,,,,83,81,72,80,85,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82,71,80,36,32,35
207865,Marquinhos,25,183,75,Brazil,Paris Saint-Germain,86,90,51500000,120000,Right,3,3,3,Medium,RCB,74,41,73,70,86,77,,,,,,,68,33,84,82,31,64,55,32,82,79,72,76,69,85,68,61,89,76,75,35,80,86,59,68,47,86,86,87,87
232363,M. Škriniar,24,187,80,Slovakia,Inter,86,90,52000000,89000,Right,1,4,2,Medium,LCB,69,41,59,66,87,82,,,,,,,40,42,82,73,40,67,34,30,69,69,70,69,48,83,51,50,78,75,85,30,86,86,30,57,56,81,92,87,83
199556,M. Verratti,26,165,60,Italy,Paris Saint-Germain,86,89,54500000,140000,Right,3,4,4,Medium,RCM,65,60,84,90,79,66,,,,,,,75,60,55,90,64,90,74,64,89,89,69,61,91,85,94,56,64,77,52,58,89,84,71,87,64,95,78,82,83
205600,S. Umtiti,25,182,75,France,FC Barcelona,86,89,50000000,210000,Left,3,3,2,Medium,SUB,69,63,69,69,86,82,,,,,,,61,51,79,80,65,64,72,62,73,77,66,72,62,82,66,83,88,71,86,74,82,87,51,58,61,82,87,88,85
186153,W. Szczęsny,29,195,90,Poland,Juventus,86,88,37500000,135000,Right,3,3,1,Medium,GK,,,,,,,85,82,73,88,49,86,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12
212622,J. Kimmich,24,176,73,Germany,FC Bayern München,86,88,48000000,125000,Right,3,4,3,High,RB,72,69,86,84,79,78,,,,,,,91,66,74,87,67,83,85,61,85,85,77,68,84,87,84,76,79,94,66,71,86,80,80,84,44,85,78,80,79
197781,Isco,27,176,79,Spain,Real Madrid,86,87,51000000,245000,Right,3,3,4,Medium,SUB,71,77,83,91,59,60,,,,,,,78,79,55,84,67,92,88,76,80,93,74,68,85,76,90,69,61,62,59,84,58,61,79,87,76,86,58,64,51
201942,Roberto Firmino,27,181,76,Brazil,Liverpool,86,87,52000000,170000,Right,3,4,4,High,CF,77,82,80,87,61,78,,,,,,,72,85,78,86,81,88,80,65,76,88,78,77,80,86,81,81,81,88,74,76,73,58,87,86,72,88,60,64,42
168651,I. Rakitić,31,184,78,Croatia,FC Barcelona,86,86,38000000,245000,Right,4,4,3,Medium,RCM,62,81,86,81,74,70,,,,,,,84,78,59,86,84,80,88,82,90,87,64,61,73,80,62,84,34,79,71,85,67,79,77,85,82,80,76,73,72
180206,M. Pjanić,29,178,72,Bosnia Herzegovina,Juventus,86,86,42500000,180000,Right,3,4,3,Medium,CDM,68,68,87,85,75,67,,,,,,,80,56,60,91,72,86,86,92,87,89,69,67,75,84,81,78,60,79,61,82,70,78,68,88,79,86,78,76,70
183898,A. Di María,31,180,69,Argentina,Paris Saint-Germain,86,86,39000000,150000,Left,4,2,5,High,LW,84,79,84,87,48,68,,,,,,,86,76,51,83,77,87,88,88,80,86,85,84,94,82,77,83,72,78,60,84,73,42,84,86,73,84,41,55,52
184344,L. Bonucci,32,190,85,Italy,Juventus,86,86,28500000,160000,Right,3,4,2,Low,RCB,58,58,69,70,87,79,,,,,,,44,48,84,77,58,69,56,61,85,75,55,60,61,84,55,74,85,68,82,65,82,90,38,74,70,86,90,86,80
189242,Coutinho,27,172,68,Brazil,FC Bayern München,86,86,46500000,175000,Right,3,4,5,High,LCM,79,80,84,90,52,64,,,,,,,79,77,48,84,78,90,90,86,82,91,84,75,92,82,93,82,59,76,61,88,59,49,84,86,70,77,55,54,47
189513,Parejo,30,182,74,Spain,Valencia CF,86,86,41000000,69000,Right,2,4,3,Medium,RCM,41,80,88,79,70,69,,,,,,,84,80,61,91,72,79,89,90,88,85,49,35,64,78,72,79,49,76,71,82,58,81,81,86,83,85,69,68,65
189596,T. Müller,29,186,75,Germany,FC Bayern München,86,86,43500000,170000,Right,4,4,3,High,SUB,72,83,79,78,55,71,,,,,,,79,87,81,81,84,75,81,59,72,82,69,75,74,91,71,78,77,86,67,80,61,58,92,85,60,84,44,57,46
192387,C. Immobile,29,185,85,Italy,Lazio,86,86,44500000,105000,Right,3,4,3,High,ST,80,85,63,81,39,76,,,,,,,55,87,81,74,85,83,70,51,49,83,76,83,75,87,63,86,77,79,73,80,77,40,91,65,78,81,34,33,32
193301,A. Lacazette,28,175,73,France,Arsenal,86,86,46000000,165000,Right,3,4,4,High,ST,82,85,75,86,40,74,,,,,,,68,87,74,81,82,86,74,74,69,86,82,82,85,86,85,86,76,79,73,78,72,42,87,78,84,86,29,42,30
235243,M. de Ligt,19,189,89,Netherlands,Juventus,85,93,50000000,76000,Right,3,4,2,Medium,SUB,67,58,66,68,83,84,,,,,,,52,50,85,76,40,66,48,55,74,74,61,72,56,83,60,82,84,77,88,64,82,82,44,63,40,82,86,82,80
230621,G. Donnarumma,20,196,90,Italy,Milan,85,92,41500000,34000,Right,3,3,1,Medium,GK,,,,,,,90,80,74,90,50,80,12,12,12,34,8,28,12,14,24,28,46,54,64,79,38,56,72,34,72,18,30,26,14,50,24,68,20,14,16
228702,F. de Jong,22,180,74,Netherlands,FC Barcelona,85,91,52000000,195000,Right,3,3,4,Medium,LCM,79,64,84,87,76,76,,,,,,,75,64,66,90,69,88,84,64,86,89,80,78,84,87,79,68,76,82,74,62,72,81,70,86,45,90,75,75,77
201535,R. Varane,26,191,81,France,Real Madrid,85,90,45000000,205000,Right,3,3,2,Medium,RCB,83,45,62,63,85,80,,,,,,,36,40,83,75,42,55,46,52,76,77,79,86,63,83,38,52,79,72,86,53,77,82,44,59,43,84,87,86,85
212190,N. Süle,23,195,97,Germany,FC Bayern München,85,90,46500000,115000,Right,2,3,2,Medium,RCB,72,42,55,50,86,82,,,,,,,34,22,86,78,33,43,28,30,69,63,53,87,34,81,33,77,40,66,94,62,83,81,26,40,32,75,85,89,87
223848,S. Milinković-Savić,24,191,76,Serbia,Lazio,85,90,50500000,73000,Right,2,4,4,High,RDM,67,79,80,83,77,84,,,,,,,64,80,86,85,74,86,78,75,85,87,66,67,65,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72
231866,Rodri,23,191,82,Spain,Manchester City,85,90,47000000,150000,Right,2,4,3,Medium,SUB,67,68,77,77,82,80,,,,,,,63,64,75,85,59,76,65,54,82,82,68,66,69,82,72,74,69,84,80,76,76,84,75,82,46,85,82,84,78
208421,Saúl,24,184,77,Spain,Atlético Madrid,85,89,49500000,77000,Left,3,4,3,High,LCM,70,78,79,81,78,78,,,,,,,69,78,83,85,76,81,72,60,83,85,71,70,73,82,69,82,78,87,77,81,69,79,82,82,55,83,77,78,77
209499,Fabinho,25,188,78,Brazil,Liverpool,85,89,45000000,125000,Right,3,2,3,Medium,CDM,68,69,78,77,85,83,,,,,,,75,66,75,83,47,76,71,53,82,82,67,69,66,84,66,78,75,88,81,65,85,88,70,78,91,84,84,86,85
216267,A. Robertson,25,178,64,Scotland,Liverpool,85,89,43500000,125000,Left,1,2,3,High,LB,85,62,77,79,80,75,,,,,,,89,57,63,79,32,78,78,30,71,81,83,86,78,84,74,74,62,94,65,65,80,82,76,77,55,79,81,83,80
216460,J. Giménez,24,185,80,Uruguay,Atlético Madrid,85,89,45000000,69000,Right,2,3,2,Medium,RCB,69,45,52,54,86,82,,,,,,,47,37,81,69,30,50,36,44,62,60,67,70,54,79,39,72,89,64,88,48,89,85,24,27,38,75,88,86,86
220440,C. Lenglet,24,186,81,France,FC Barcelona,85,89,45000000,175000,Left,2,4,2,Medium,LCB,75,45,68,65,86,80,,,,,,,55,39,82,81,37,57,59,31,75,76,77,74,62,84,60,58,86,75,82,46,80,87,54,66,49,82,90,83,81
199482,A. Lopes,28,184,81,Portugal,Olympique Lyonnais,85,87,33500000,88000,Left,2,2,1,Medium,GK,,,,,,,87,80,75,89,64,84,19,18,16,32,13,15,15,14,31,21,63,64,67,84,62,56,82,36,73,18,43,25,9,48,16,65,13,15,13
185122,P. Gulácsi,29,192,86,Hungary,RB Leipzig,85,86,31000000,69000,Right,2,2,1,Medium,GK,,,,,,,84,86,81,86,43,84,16,10,23,29,10,19,18,11,25,25,42,44,41,82,42,61,67,35,74,12,34,23,11,42,24,45,25,16,20
189117,R. Bürki,28,187,85,Switzerland,Borussia Dortmund,85,86,32000000,92000,Right,3,2,1,Medium,GK,,,,,,,86,80,74,89,50,83,15,8,17,37,13,12,13,12,24,23,44,54,49,83,52,56,74,36,74,14,35,18,10,50,20,58,11,13,16
192505,R. Lukaku,26,190,94,Belgium,Inter,85,86,46000000,115000,Left,3,4,3,Medium,LS,75,82,73,72,35,84,,,,,,,72,84,85,75,77,78,78,66,71,70,64,84,55,84,46,87,71,75,95,74,71,27,86,73,78,81,30,30,30
192774,K. Manolas,28,189,83,Greece,Napoli,85,86,37500000,105000,Right,3,2,2,Low,RCB,82,25,42,60,86,81,,,,,,,27,25,80,60,16,54,30,10,61,65,81,83,68,82,60,40,86,72,82,12,86,86,25,22,26,85,87,87,89
194404,Neto,29,190,84,Brazil,FC Barcelona,85,86,31000000,175000,Right,2,2,1,Medium,SUB,,,,,,,86,81,79,82,54,82,11,15,14,36,12,19,12,13,41,24,56,52,59,79,49,59,83,41,63,20,40,15,11,42,22,64,17,14,15
197445,D. Alaba,27,180,78,Austria,FC Bayern München,85,86,38000000,135000,Left,4,4,3,Medium,LB,83,73,81,80,80,76,,,,,,,82,63,74,82,68,79,78,85,79,82,79,86,78,84,78,85,83,85,74,80,69,82,76,77,79,80,80,80,80
201399,M. Icardi,26,181,75,Argentina,Inter,85,86,46000000,115000,Right,3,4,3,Medium,RES,75,84,61,77,36,69,,,,,,,46,89,88,73,85,75,58,45,54,80,76,75,75,85,76,84,94,67,73,70,56,22,92,64,82,79,45,24,20
204963,Carvajal,27,173,73,Spain,Real Madrid,85,86,38000000,205000,Right,3,3,3,High,RB,81,47,78,81,82,80,,,,,,,84,41,70,83,34,78,74,47,74,84,79,83,80,84,82,68,77,90,74,36,84,83,75,74,45,82,83,83,85
143076,A. Gómez,31,165,68,Argentina,Atalanta,85,85,34000000,92000,Right,3,4,4,High,CAM,89,78,81,86,39,55,,,,,,,81,79,38,81,72,85,79,79,74,85,94,85,92,81,94,76,70,70,46,79,56,40,82,85,72,84,50,30,34
167664,G. Higuaín,31,186,89,Argentina,Juventus,85,85,34500000,175000,Right,4,4,3,High,SUB,63,85,71,80,31,71,,,,,,,68,88,77,75,88,80,74,62,60,84,62,64,72,86,69,86,78,60,84,80,50,20,90,75,70,85,35,22,18
170890,B. Matuidi,32,180,75,France,Juventus,85,85,25000000,145000,Left,3,2,2,Medium,SUB,75,66,76,78,83,81,,,,,,,74,60,68,83,72,76,60,52,77,79,77,73,83,84,79,78,84,90,74,67,86,86,72,74,56,82,85,84,86
173731,G. Bale,29,185,82,Wales,Real Madrid,85,85,37500000,250000,Left,4,3,4,Medium,SUB,91,87,82,82,58,76,,,,,,,86,84,84,81,85,83,90,87,80,84,90,91,79,80,65,92,86,73,80,90,65,59,85,79,76,85,54,55,52
176676,Marcelo,31,174,75,Brazil,Real Madrid,85,85,28000000,205000,Left,4,4,5,High,LB,81,74,83,89,77,79,,,,,,,89,73,75,85,63,89,84,67,77,92,82,80,85,85,86,82,77,79,78,70,81,81,83,80,59,85,71,79,82
177413,A. Witsel,30,186,81,Belgium,Borussia Dortmund,85,85,31500000,110000,Right,3,4,4,Medium,LDM,73,74,80,79,83,81,,,,,,,69,71,81,89,77,78,69,68,84,84,67,77,76,85,67,78,77,82,82,74,79,80,75,80,76,92,82,85,83
191043,Alex Sandro,28,180,80,Brazil,Juventus,85,85,33000000,155000,Left,3,3,3,High,LB,83,65,77,80,82,82,,,,,,,84,55,76,81,68,80,78,59,71,81,81,85,78,84,77,80,79,91,78,72,82,82,70,70,60,82,81,84,84
